Layer,Hf,Wf,Cin,Cout,FLOPS,Time
2,3,3,3,64,86704128,0.03410124778747558
2,3,3,3,64,86704128,0.03307771682739258
2,3,3,3,64,86704128,0.03409528732299805
2,3,3,3,64,86704128,0.03630852699279785
2,3,3,3,64,86704128,0.034325838088989265
2,3,3,3,64,86704128,0.03540611267089844
2,3,3,3,64,86704128,0.033751487731933594
2,3,3,3,64,86704128,0.034413814544677734
2,3,3,3,64,86704128,0.03513073921203613
2,3,3,3,64,86704128,0.03431487083435058
2,3,3,3,64,86704128,0.03406047821044922
2,3,3,3,64,86704128,0.03406476974487305
2,3,3,3,64,86704128,0.03439521789550781
2,3,3,3,64,86704128,0.03440427780151367
2,3,3,3,64,86704128,0.03308725357055664
2,3,3,3,64,86704128,0.03417706489562988
2,3,3,3,64,86704128,0.033176660537719734
2,3,3,3,64,86704128,0.03310394287109375
2,3,3,3,64,86704128,0.03282761573791504
2,3,3,3,64,86704128,0.033130884170532234
2,3,3,3,64,86704128,0.034346580505371094
2,3,3,3,64,86704128,0.0331721305847168
2,3,3,3,64,86704128,0.0330960750579834
2,3,3,3,64,86704128,0.03434252738952637
2,3,3,3,64,86704128,0.03539609909057617
2,3,3,3,64,86704128,0.03293871879577637
2,3,3,3,64,86704128,0.0343775749206543
2,3,3,3,64,86704128,0.03715062141418457
2,3,3,3,64,86704128,0.03438115119934082
2,3,3,3,64,86704128,0.03303861618041992
2,3,3,3,64,86704128,0.03281664848327637
2,3,3,3,64,86704128,0.03278827667236328
2,3,3,3,64,86704128,0.03280329704284668
2,3,3,3,64,86704128,0.0328214168548584
2,3,3,3,64,86704128,0.03499007225036621
2,3,3,3,64,86704128,0.03374218940734863
2,3,3,3,64,86704128,0.03299283981323242
2,3,3,3,64,86704128,0.034981727600097656
2,3,3,3,64,86704128,0.03631925582885742
2,3,3,3,64,86704128,0.03374481201171875
2,3,3,3,64,86704128,0.03279829025268555
2,3,3,3,64,86704128,0.032792329788208015
2,3,3,3,64,86704128,0.03301334381103516
2,3,3,3,64,86704128,0.036316871643066406
2,3,3,3,64,86704128,0.03302145004272461
2,3,3,3,64,86704128,0.032944440841674805
2,3,3,3,64,86704128,0.03498625755310058
2,3,3,3,64,86704128,0.03315258026123047
2,3,3,3,64,86704128,0.03418684005737305
2,3,3,3,64,86704128,0.03299689292907715
2,3,3,3,64,86704128,0.03521537780761719
2,3,3,3,64,86704128,0.03418469429016113
2,3,3,3,64,86704128,0.033118486404418945
2,3,3,3,64,86704128,0.03311634063720703
2,3,3,3,64,86704128,0.032949209213256836
2,3,3,3,64,86704128,0.035176753997802734
2,3,3,3,64,86704128,0.03314065933227539
2,3,3,3,64,86704128,0.032953500747680664
2,3,3,3,64,86704128,0.03286242485046387
2,3,3,3,64,86704128,0.03285694122314453
2,3,3,3,64,86704128,0.033026456832885735
2,3,3,3,64,86704128,0.03285050392150879
2,3,3,3,64,86704128,0.037145137786865234
2,3,3,3,64,86704128,0.0328526496887207
2,3,3,3,64,86704128,0.03296613693237305
2,3,3,3,64,86704128,0.03520631790161133
2,3,3,3,64,86704128,0.0329592227935791
2,3,3,3,64,86704128,0.03549814224243164
2,3,3,3,64,86704128,0.035497188568115234
2,3,3,3,64,86704128,0.03714132308959961
2,3,3,3,64,86704128,0.0353846549987793
2,3,3,3,64,86704128,0.03314471244812012
2,3,3,3,64,86704128,0.03497052192687988
2,3,3,3,64,86704128,0.03497147560119629
2,3,3,3,64,86704128,0.033004045486450195
2,3,3,3,64,86704128,0.03714251518249512
2,3,3,3,64,86704128,0.035387277603149414
2,3,3,3,64,86704128,0.032868146896362305
2,3,3,3,64,86704128,0.0328671932220459
2,3,3,3,64,86704128,0.03514242172241211
2,3,3,3,64,86704128,0.035141706466674805
2,3,3,3,64,86704128,0.035386085510253906
2,3,3,3,64,86704128,0.03300666809082031
2,3,3,3,64,86704128,0.03517317771911621
2,3,3,3,64,86704128,0.035173892974853516
2,3,3,3,64,86704128,0.033005714416503906
2,3,3,3,64,86704128,0.033147573471069336
2,3,3,3,64,86704128,0.03491830825805664
2,3,3,3,64,86704128,0.034918785095214844
2,3,3,3,64,86704128,0.032962560653686516
2,3,3,3,64,86704128,0.03296184539794922
2,3,3,3,64,86704128,0.03314685821533203
2,3,3,3,64,86704128,0.03297281265258789
2,3,3,3,64,86704128,0.03297233581542969
2,3,3,3,64,86704128,0.033031225204467766
2,3,3,3,64,86704128,0.03303074836730957
2,3,3,3,64,86704128,0.03520989418029785
2,3,3,3,64,86704128,0.03520989418029785
2,3,3,3,64,86704128,0.03520965576171875
